iter	Passed	Remaining
399	50472	75709
400	50585	75563
401	50714	75441
402	50846	75323
403	50972	75197
404	51099	75072
405	51241	74969
406	51358	74828
407	51466	74676
408	51570	74518
409	51705	74405
410	51832	74280
411	51991	74201
412	52169	74149
413	52290	74015
414	52413	73883
415	52528	73741
416	52650	73609
417	52754	73452
418	52864	73303
419	52994	73182
420	53111	73043
421	53226	72902
422	53361	72788
423	53487	72662
424	53617	72540
425	53731	72399
426	53849	72262
427	53973	72132
428	54092	71997
429	54228	71884
430	54339	71737
431	54453	71596
432	54560	71445
433	54698	71334
434	54821	71204
435	54952	71085
436	55069	70947
437	55194	70820
438	55328	70705
439	55453	70576
440	55584	70457
441	55713	70334
442	55851	70224
443	55992	70116
444	56099	69966
445	56229	69845
446	56369	69736
447	56502	69619
448	56622	69485
449	56757	69370
450	56885	69245
451	57010	69118
452	57145	69003
453	57321	68936
454	57426	68785
455	57558	68666
456	57693	68550
457	57816	68420
458	57941	68292
459	58051	68146
460	58174	68017
461	58283	67870
462	58393	67726
463	58514	67594
464	58654	67484
465	58788	67367
466	58921	67249
467	59042	67116
468	59171	66993
469	59289	66857
470	59406	66721
471	59516	66578
472	59632	66440
473	59761	66317
474	59872	66175
475	60001	66051
476	60147	65947
477	60281	65830
478	60402	65698
479	60522	65565
480	60633	65423
481	60748	65285
482	60882	65168
483	61006	65039
484	61137	64919
485	61261	64790
486	61380	64657
487	61515	64541
488	61640	64413
489	61745	64265
490	61862	64130
491	61985	64000
492	62121	63885
493	62251	63763
494	62394	63654
495	62523	63531
496	62644	63401
497	62774	63278
498	62892	63144
499	62999	62999
500	63128	62876
501	63253	62749
502	63392	62636
503	63522	62513
504	63647	62386
505	63771	62258
506	63896	62131
507	64031	62014
508	64131	61863
509	64262	61742
510	64372	61600
511	64511	61487
512	64645	61369
513	64788	61259
514	64907	61126
515	65032	60999
516	65161	60875
517	65279	60742
518	65407	60618
519	65533	60492
520	65651	60358
521	65765	60221
522	65887	60092
523	65999	59953
524	66125	59827
525	66253	59704
526	66362	59562
527	66483	59432
528	66609	59306
529	66732	59178
530	66860	59053
531	66999	58939
532	67121	58809
533	67234	58672
534	67364	58550
535	67497	58430
536	67613	58295
537	67736	58168
538	67871	58049
539	67991	57918
540	68125	57799
541	68251	57673
542	68379	57549
543	68499	57419
544	68627	57294
545	68759	57173
546	68902	57062
547	69014	56924
548	69154	56809
549	69255	56663
550	69379	56535
551	69495	56401
552	69609	56266
553	69729	56135
554	69840	55998
555	69950	55859
556	70085	55741
557	70225	55626
558	70336	55489
559	70446	55350
560	70567	55220
561	70707	55106
562	70842	54987
563	70962	54857
564	71090	54733
565	71212	54604
566	71350	54488
567	71454	54345
568	71583	54222
569	71707	54095
570	71836	53972
571	71974	53854
572	72113	53739
573	72253	53623
574	72378	53496
575	72504	53371
576	72611	53232
577	72740	53108
578	72869	52984
579	72988	52853
580	73106	52722
581	73238	52600
582	73361	52472
583	73479	52341
584	73610	52219
585	73725	52086
586	73838	51951
587	73950	51815
588	74087	51697
589	74214	51572
590	74357	51458
591	74484	51333
592	74615	51211
593	74752	51093
594	74862	50957
595	74988	50830
596	75120	50709
597	75236	50577
598	75359	50449
599	75477	50318
600	75618	50202
601	75736	50071
602	75849	49937
603	75977	49813
604	76100	49685
605	76230	49562
606	76353	49434
607	76481	49310
608	76611	49187
609	76735	49060
610	76855	48931
611	76999	48816
612	77131	48694
613	77262	48572
614	77392	48448
615	77515	48321
616	77633	48190
617	77753	48061
618	77873	47931
619	78000	47806
620	78130	47683
621	78253	47555
622	78388	47435
623	78509	47307
624	78642	47185
625	78770	47060
626	78894	46934
627	79015	46805
628	79134	46675
629	79243	46539
630	79354	46405
631	79466	46271
632	79602	46151
633	79724	46023
634	79834	45889
635	79948	45756
636	80066	45626
637	80194	45502
638	80303	45367
639	80432	45243
640	80569	45124
